Customer,Arrival_Date,Wait,Service_Start_Date,Service_Time,Service_End_Date
1,3.373266233520227,0.0,3.373266233520227,508.69998117815607,512.0732474116763
2,6.479005179959784,505.5942422317166,512.0732474116763,575.9730024732723,1088.0462498849488
3,9.103039544102455,1078.9432103408462,1088.0462498849488,358.9617566043758,1447.0080064893245
4,20.28610700168513,1426.7218994876393,1447.0080064893245,250.86154042467885,1697.8695469140034
5,54.592153955041404,1643.277392958962,1697.8695469140034,349.68379590280745,2047.553342816811
6,55.02760673120548,1992.5257360856056,2047.553342816811,433.4354298761777,2480.9887726929887
7,57.04443832156883,2423.9443343714197,2480.9887726929887,99.7321007652943,2580.720873458283
8,65.88437816081854,2514.836495297465,2580.720873458283,359.01610570097046,2939.7369791592537
9,74.0298810290302,2865.7070981302236,2939.7369791592537,282.1928140600107,3221.9297932192644
10,81.90952559218793,3140.0202676270765,3221.9297932192644,3747.4960030194397,6969.425796238704
11,83.93313990790648,6885.492656330797,6969.425796238704,487.1524225267719,7456.578218765476
12,100.24501475438466,7356.333204011091,7456.578218765476,1999.8678726887035,9456.44609145418
