Customer,Arrival_Date,Wait,Service_Start_Date,Service_Time,Service_End_Date
1,0.019803360586564497,0.0,0.019803360586564497,2937.730831698675,2937.7506350592616
2,0.019825326400078547,2937.7308097328614,2937.7506350592616,3864.7207375778403,6802.471372637102
3,0.020205385383916523,6802.451167251718,6802.471372637102,109.72097569799759,6912.192348335099
4,0.0222363382180337,6912.170111996881,6912.192348335099,514.7652186940387,7426.957567029138
5,0.030798599029902875,7426.926768430108,7426.957567029138,1133.9510807521654,8560.908647781303
6,0.03316697272229805,8560.875480808581,8560.908647781303,405.37812328700164,8966.286771068306
7,0.03347813715253105,8966.253292931153,8966.286771068306,217.49955112460827,9183.786322192915
8,0.03359261357968116,9183.752729579335,9183.786322192915,114.70018553227987,9298.486507725194
9,0.03599796391896104,9298.450509761275,9298.486507725194,2196.7000287697037,11495.186536494897
10,0.04476815700482075,11495.141768337893,11495.186536494897,2446.30289618816,13941.489432683058
11,0.04765950732019184,13941.441773175738,13941.489432683058,579.2617221691524,14520.75115485221
12,0.05273039604750074,14520.698424456163,14520.75115485221,2481.335038373547,17002.086193225758
13,0.06594596404980663,17002.02024726171,17002.086193225758,940.4609767061859,17942.547169931942
14,0.09976730739999495,17942.44740262454,17942.547169931942,1137.5309119194492,19080.078081851392
15,0.11579243615126315,19079.96228941524,19080.078081851392,695.4039406093633,19775.482022460754
16,0.11780895069368166,19775.36421351006,19775.482022460754,1043.1346209925232,20818.61664345328
17,0.12131495923003106,20818.49532849405,20818.61664345328,93.7660001230463,20912.382643576326
18,0.12516566683694125,20912.25747790949,20912.382643576326,282.9447767083692,21195.327420284695
19,0.15068521819311437,21195.176735066503,21195.327420284695,792.7966238865789,21988.124044171273
20,0.15382003402971253,21987.970224137243,21988.124044171273,1999.586246817605,23987.710290988878
21,0.17164370816564495,23987.53864728071,23987.710290988878,1372.2006638562368,25359.910954845116
22,0.17309882836932663,25359.737856016745,25359.910954845116,626.1214324091965,25986.032387254312
23,0.18130617111228306,25985.8510810832,25986.032387254312,1555.8558499950464,27541.888237249357
24,0.18313635872824224,27541.705100890627,27541.888237249357,686.3039758179606,28228.19221306732
25,0.1837509252084832,28228.008462142112,28228.19221306732,215.00840062302797,28443.200613690347
26,0.18793748948485758,28443.012676200862,28443.200613690347,1784.6965593347938,30227.89717302514
27,0.19100105649002216,30227.70617196865,30227.89717302514,862.5461285020053,31090.443301527146
28,0.19309898432422304,31090.250202542822,31090.443301527146,2068.1805891680924,33158.623890695235
29,0.19880618091638091,33158.42508451432,33158.623890695235,317.23050233507985,33475.85439303031
30,0.19964261767301894,33475.65475041264,33475.85439303031,1165.4750094486692,34641.32940247898
31,0.20310924332650812,34641.126293235655,34641.32940247898,290.5930242319565,34931.92242671094
32,0.2114598393500651,34931.710966871586,34931.92242671094,648.9119073303737,35580.83433404131
33,0.21180375329862558,35580.62253028801,35580.83433404131,585.3314390658808,36166.16577310719
34,0.21182953058973236,36165.9539435766,36166.16577310719,75.68858394831233,36241.854357055505
35,0.22716488513995398,36241.62719217037,36241.854357055505,860.692434843463,37102.54679189897
36,0.22782423997666593,37102.31896765899,37102.54679189897,283.7935445477576,37386.34033644672
37,0.2291348778524163,37386.11120156887,37386.34033644672,1225.435190877823,38611.77552732455
38,0.23012405406379405,38611.54540327049,38611.77552732455,1798.8809716154528,40410.65649894
39,0.23391245968085736,40410.422586480316,40410.65649894,282.1121660607323,40692.76866500073
40,0.23677616412295324,40692.53188883661,40692.76866500073,923.5736240367979,41616.34228903753
41,0.24207245889912102,41616.100216578634,41616.34228903753,306.0548469137059,41922.397135951236
42,0.24576500514697872,41922.15137094609,41922.397135951236,739.6381044934428,42662.03524044468
43,0.25601058269138705,42661.77922986199,42662.03524044468,1206.0551841638637,43868.09042460855
44,0.2617460781932032,43867.82867853036,43868.09042460855,428.20250855410205,44296.29293316265
45,0.2723134933790332,44296.020619669274,44296.29293316265,871.9029437287563,45168.195876891405
46,0.2755712200788755,45167.92030567132,45168.195876891405,573.4370313463808,45741.632908237785
47,0.284308013360941,45741.348600224424,45741.632908237785,1037.5271534099784,46779.160061647766
48,0.29026396466727433,46778.869797683095,46779.160061647766,2341.102934873288,49120.26299652105
49,0.317760089196158,49119.94523643186,49120.26299652105,1139.2491252049447,50259.512121725995
50,0.3178896626800123,50259.19423206332,50259.512121725995,1638.2923617529757,51897.80448347897
51,0.322811940095717,51897.48167153887,51897.80448347897,1223.1083160005894,53120.912799479556
52,0.32353733894712045,53120.58926214061,53120.912799479556,497.97980396408946,53618.892603443644
53,0.33506320698760284,53618.55754023666,53618.892603443644,2375.286144280239,55994.17874772388
54,0.3426735432217099,55993.83607418066,55994.17874772388,1953.6147248843342,57947.79347260822
55,0.34549679782487186,57947.44797581039,57947.79347260822,383.35724280218017,58331.1507154104
56,0.34985231821131385,58330.80086309218,58331.1507154104,1623.68811044609,59954.83882585649
57,0.36165633931451074,59954.47716951717,59954.83882585649,294.8617131461979,60249.70053900269
58,0.3617996360165813,60249.33873936667,60249.70053900269,2018.475126025681,62268.17566502837
59,0.3684090163803723,62267.80725601199,62268.17566502837,350.28142173829826,62618.45708676667
60,0.37542814962072885,62618.08165861705,62618.45708676667,254.20755250362186,62872.66463927029
61,0.3788387938915656,62872.2858004764,62872.66463927029,1875.1187867813544,64747.78342605165
62,0.38894376289380284,64747.39448228875,64747.78342605165,1929.3759471532858,66677.15937320494
63,0.38964890210407815,66676.76972430284,66677.15937320494,441.61829210396223,67118.7776653089
