Customer,Initial_Arrival_Date,Arrival_time,Wait,Service_Start_Date,Service_Time,Service_End_Date,Flow_type,Prioritised,FlowNumber
1,499.6009716493416,499.60224364934163,0.0,499.6018196493416,0.000424,499.60224364934163,0,False,0
2,499.61068038720566,499.6119523872057,0.0,499.6115283872057,0.000424,499.6119523872057,0,False,0
3,499.6203891250698,499.6216611250698,0.0,499.6212371250698,0.000424,499.6216611250698,0,False,0
4,499.63009786293384,499.63136986293387,0.0,499.63094586293386,0.000424,499.63136986293387,0,False,0
5,499.6398066007979,499.6410786007979,0.0,499.6406546007979,0.000424,499.6410786007979,0,False,0
6,499.649515338662,499.65078733866204,0.0,499.65036333866203,0.000424,499.65078733866204,0,False,0
7,499.6592240765261,499.6604960765261,0.0,499.6600720765261,0.000424,499.6604960765261,0,False,0
8,499.66893281439013,499.67020481439016,0.0,499.66978081439015,0.000424,499.67020481439016,0,False,0
9,499.67864155225425,499.6799135522543,0.0,499.67948955225427,0.000424,499.6799135522543,0,False,0
10,499.6883502901183,499.68962229011834,0.0,499.6891982901183,0.000424,499.68962229011834,0,False,0
11,499.69805902798237,499.6993310279824,0.0,499.6989070279824,0.000424,499.6993310279824,0,False,0
12,499.7077677658465,499.7090397658465,0.0,499.7086157658465,0.000424,499.7090397658465,0,False,0
13,499.71747650371054,499.7187485037106,0.0,499.71832450371056,0.000424,499.7187485037106,0,False,0
14,499.7271852415746,499.72845724157463,0.0,499.7280332415746,0.000424,499.72845724157463,0,False,0
15,499.73689397943866,499.7381659794387,0.0,499.7377419794387,0.000424,499.7381659794387,0,False,0
16,499.7466027173028,499.7478747173028,0.0,499.7474507173028,0.000424,499.7478747173028,0,False,0
17,499.75631145516684,499.75758345516687,0.0,499.75715945516686,0.000424,499.75758345516687,0,False,0
18,499.7660201930309,499.7672921930309,0.0,499.7668681930309,0.000424,499.7672921930309,0,False,0
19,499.775728930895,499.77700093089504,0.0,499.77657693089503,0.000424,499.77700093089504,0,False,0
20,499.7854376687591,499.7867096687591,0.0,499.7862856687591,0.000424,499.7867096687591,0,False,0
21,499.79514640662313,499.79641840662316,0.0,499.79599440662315,0.000424,499.79641840662316,0,False,0
22,499.80485514448725,499.8061271444873,0.0,499.80570314448727,0.000424,499.8061271444873,0,False,0
23,499.8145638823513,499.81583588235134,0.0,499.8154118823513,0.000424,499.81583588235134,0,False,0
24,499.82427262021537,499.8255446202154,0.0,499.8251206202154,0.000424,499.8255446202154,0,False,0
25,499.8339813580795,499.8352533580795,0.0,499.8348293580795,0.000424,499.8352533580795,0,False,0
26,499.84369009594354,499.8449620959436,0.0,499.84453809594356,0.000424,499.8449620959436,0,False,0
27,499.8533988338076,499.85467083380763,0.0,499.8542468338076,0.000424,499.85467083380763,0,False,0
28,499.8631075716717,499.86437957167175,0.0,499.86395557167174,0.000424,499.86437957167175,0,False,0
29,499.8728163095358,499.8740883095358,0.0,499.8736643095358,0.000424,499.8740883095358,0,False,0
30,499.88252504739984,499.88379704739987,0.0,499.88337304739986,0.000424,499.88379704739987,0,False,0
31,499.89223378526395,499.893505785264,0.0,499.893081785264,0.000424,499.893505785264,0,False,0
32,499.901942523128,499.90321452312804,0.0,499.90279052312803,0.000424,499.90321452312804,0,False,0
33,499.9116512609921,499.9129232609921,0.0,499.9124992609921,0.000424,499.9129232609921,0,False,0
34,499.9213599988562,499.9226319988562,0.0,499.9222079988562,0.000424,499.9226319988562,0,False,0
35,499.93106873672025,499.9323407367203,0.0,499.93191673672027,0.000424,499.9323407367203,0,False,0
36,499.9407774745843,499.94204947458434,0.0,499.9416254745843,0.000424,499.94204947458434,0,False,0
37,499.9504862124484,499.95175821244845,0.0,499.95133421244844,0.000424,499.95175821244845,0,False,0
38,499.9601949503125,499.9614669503125,0.0,499.9610429503125,0.000424,499.9614669503125,0,False,0
39,499.96990368817654,499.9711756881766,0.0,499.97075168817656,0.000424,499.9711756881766,0,False,0
40,499.9796124260406,499.98088442604063,0.0,499.9804604260406,0.000424,499.98088442604063,0,False,0
41,499.9893211639047,499.99059316390475,0.0,499.99016916390474,0.000424,499.99059316390475,0,False,0
42,499.9990299017688,500.0003019017688,0.0,499.9998779017688,0.000424,500.0003019017688,0,False,0
43,500.00873863963284,500.01001063963287,0.0,500.00958663963286,0.000424,500.01001063963287,0,False,0
44,500.01844737749695,500.019719377497,0.0,500.019295377497,0.000424,500.019719377497,0,False,0
45,500.028156115361,500.02942811536104,0.0,500.02900411536103,0.000424,500.02942811536104,0,False,0
46,500.0378648532251,500.0391368532251,0.0,500.0387128532251,0.000424,500.0391368532251,0,False,0
47,500.0475735910892,500.0488455910892,0.0,500.0484215910892,0.000424,500.0488455910892,0,False,0
48,500.05728232895325,500.0585543289533,0.0,500.05813032895327,0.000424,500.0585543289533,0,False,0
49,500.0669910668173,500.06826306681734,0.0,500.0678390668173,0.000424,500.06826306681734,0,False,0
50,500.0766998046814,500.07797180468145,0.0,500.07754780468144,0.000424,500.07797180468145,0,False,0
51,500.0864085425455,500.0876805425455,0.0,500.0872565425455,0.000424,500.0876805425455,0,False,0
52,500.09611728040954,500.0973892804096,0.0,500.09696528040956,0.000424,500.0973892804096,0,False,0
53,500.10582601827366,500.1070980182737,0.0,500.1066740182737,0.000424,500.1070980182737,0,False,0
54,500.1155347561377,500.11680675613775,0.0,500.11638275613774,0.000424,500.11680675613775,0,False,0
55,500.1252434940018,500.1265154940018,0.0,500.1260914940018,0.000424,500.1265154940018,0,False,0
