Customer,Initial_Arrival_Date,Arrival_time,Pre_arrival,Wait,delay,Service_Start_Date,Service_Time,Service_End_Date,Flow_type,Prioritised,FlowNumber
1,1923.8246125665476,1923.8266125665475,1923.8266125665475,0.0,0.0019999999999527063,1923.8266125665475,0.002,1923.8286125665475,1,False,1
2,1923.8271125665476,1923.8291125665476,1923.8291125665476,0.0,0.0019999999999527063,1923.8291125665476,0.002,1923.8311125665475,1,False,1
3,1923.8296125665477,1923.8316125665476,1923.8316125665476,0.0,0.0019999999999527063,1923.8316125665476,0.002,1923.8336125665476,1,False,1
4,1923.8321125665475,1923.8341125665474,1923.8341125665474,0.0,0.0019999999999527063,1923.8341125665474,0.002,1923.8361125665474,1,False,1
5,1923.8346125665475,1923.8366125665475,1923.8366125665475,0.0,0.0019999999999527063,1923.8366125665475,0.002,1923.8386125665475,1,False,1
6,1923.8371125665476,1923.8391125665476,1923.8391125665476,0.0,0.0019999999999527063,1923.8391125665476,0.002,1923.8411125665475,1,False,1
7,1923.8396125665477,1923.8416125665476,1923.8416125665476,0.0,0.0019999999999527063,1923.8416125665476,0.002,1923.8436125665476,1,False,1
8,1923.8421125665475,1923.8441125665474,1923.8441125665474,0.0,0.0019999999999527063,1923.8441125665474,0.002,1923.8461125665474,1,False,1
9,1923.8446125665475,1923.8466125665475,1923.8466125665475,0.0,0.0019999999999527063,1923.8466125665475,0.002,1923.8486125665474,1,False,1
10,1923.8471125665476,1923.8491125665475,1923.8491125665475,0.0,0.0019999999999527063,1923.8491125665475,0.002,1923.8511125665475,1,False,1
11,1923.8496125665476,1923.8516125665476,1923.8516125665476,0.0,0.0019999999999527063,1923.8516125665476,0.002,1923.8536125665476,1,False,1
12,1923.8521125665475,1923.8541125665474,1923.8541125665474,0.0,0.0019999999999527063,1923.8541125665474,0.002,1923.8561125665474,1,False,1
13,1923.8546125665475,1923.8566125665475,1923.8566125665475,0.0,0.0019999999999527063,1923.8566125665475,0.002,1923.8586125665474,1,False,1
14,1923.8571125665476,1923.8591125665475,1923.8591125665475,0.0,0.0019999999999527063,1923.8591125665475,0.002,1923.8611125665475,1,False,1
15,1923.8596125665476,1923.8616125665476,1923.8616125665476,0.0,0.0019999999999527063,1923.8616125665476,0.002,1923.8636125665475,1,False,1
