inf,3.838080959520239637e-04,inf,inf,inf,inf,inf,3.878787878787879023e-04,inf,inf
3.838080959520239637e-04,inf,9.523809523809525428e-05,inf,inf,inf,inf,inf,9.552238805970150379e-05,inf
inf,9.523809523809525428e-05,inf,3.820895522388060152e-04,inf,inf,inf,inf,inf,inf
inf,inf,3.820895522388060152e-04,inf,8.510638297872340891e-05,inf,inf,inf,inf,3.849624060150375949e-04
inf,inf,inf,8.510638297872340891e-05,inf,9.638554216867469427e-05,1.118881118881118636e-04,inf,inf,3.820895522388060152e-04
inf,inf,inf,inf,9.638554216867469427e-05,inf,3.390728476821192093e-04,inf,inf,inf
inf,inf,inf,inf,1.118881118881118636e-04,3.390728476821192093e-04,inf,3.832335329341317971e-04,inf,inf
3.878787878787879023e-04,inf,inf,inf,inf,inf,3.832335329341317971e-04,inf,inf,9.523809523809525428e-05
inf,9.552238805970150379e-05,inf,inf,inf,inf,inf,inf,inf,3.838080959520239637e-04
inf,inf,inf,3.849624060150375949e-04,3.820895522388060152e-04,inf,inf,9.523809523809525428e-05,3.838080959520239637e-04,inf
